Year,AUT,AUS,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,KOR,NLD,NOR,NZL,PRT,SWE,USA,CHN,IND,BRA,MEX,RUS,ZAF,IDN,THA,MYS,POL,TUR,CHL
1970,3.3589,0.4214,3.1418,0.3283,1.8972,3.2557,2.8026,0.8438,2.3811,2.2626,3.0783,1.8585,1.5641,1.8159,-0.3255,-3.2063,1.1706,3.0629,0.3235,1.2383,3.6843,1.3023,-3.5,-3.4324,-3.7847,-5.1189,0.9146,-3.955,-4.3424,-4.6282,-3.5954,1.6213,-3.7408,-2.6983
1971,3.3194,0.3569,3.1101,0.4371,1.8927,3.2637,2.7957,0.8942,2.4421,2.1631,3.1182,1.713,1.4734,1.9159,-0.4942,-3.1671,1.1251,3.0355,0.3339,1.4443,3.6611,1.3134,-3.5727,-3.4524,-3.7164,-5.1514,0.9571,-4.0292,-4.2981,-4.5498,-3.5345,1.6007,-3.7603,-2.6407
1972,3.2683,0.3257,3.0581,0.5264,1.8981,3.2553,2.7655,0.9441,2.4735,2.0288,3.1433,1.841,1.3635,1.9559,-0.6877,-3.1614,1.109,3.0073,0.3415,1.471,3.651,1.3495,-3.5832,-3.4586,-3.6534,-5.1509,0.9985,-4.0821,-4.2253,-4.4425,-3.4941,1.508,-3.7847,-2.5596
1973,3.2179,0.3204,2.9942,0.585,1.9197,3.2608,2.6985,0.9786,2.5053,1.8971,3.1624,1.9607,1.2199,1.9495,-0.8236,-3.1596,1.1342,2.9817,0.3311,1.4914,3.6227,1.3816,-3.4422,-3.4733,-3.6187,-5.1368,1.049,-4.1375,-4.1557,-4.3328,-3.4868,1.3832,-3.7955,-2.4819
1974,3.2,0.3357,2.9533,0.6113,1.9436,3.2843,2.619,0.9709,2.4618,1.8,3.2076,2.0492,1.0717,1.951,-0.9122,-3.1297,1.1936,2.953,0.3227,1.4866,3.5513,1.4068,-3.1937,-3.5108,-3.6083,-5.1125,1.0849,-4.1905,-4.0846,-4.228,-3.5054,1.2262,-3.7972,-2.4113
1975,3.2031,0.3647,2.9385,0.6097,2.0031,3.3381,2.5218,0.9519,2.351,1.7572,3.2756,2.0877,0.9293,1.9868,-0.9147,-3.0437,1.2676,2.9199,0.3356,1.4475,3.4627,1.4144,-2.9248,-3.5712,-3.6226,-5.0827,1.0526,-4.2428,-4.0207,-4.1404,-3.5487,1.0315,-3.7852,-2.3526
1976,3.1707,0.4274,2.9012,0.5881,2.1026,3.3616,2.4492,0.9674,2.2201,1.7215,3.3379,2.0599,0.8017,2.0469,-0.8772,-2.8909,1.3136,2.8964,0.3772,1.4217,3.4,1.3949,-2.6437,-3.6341,-3.6507,-5.0381,0.9874,-4.2844,-3.9642,-4.0521,-3.6082,0.7898,-3.7952,-2.2985
1977,3.0926,0.5027,2.8172,0.5526,2.1587,3.3058,2.4087,1.016,2.089,1.6568,3.3636,2.0346,0.6983,2.1135,-0.785,-2.7396,1.3294,2.8904,0.4506,1.4309,3.3488,1.3267,-2.3859,-3.6805,-3.6763,-4.9686,0.9393,-4.2957,-3.8943,-3.9383,-3.6663,0.5576,-3.8172,-2.2363
1978,3.0057,0.5595,2.7108,0.5017,2.1628,3.1852,2.3578,1.087,1.9595,1.5947,3.3275,1.9864,0.5911,2.1929,-0.6164,-2.6163,1.3262,2.8784,0.5301,1.4715,3.2973,1.2125,-2.1138,-3.7081,-3.7012,-4.8838,0.9384,-4.288,-3.8168,-3.8063,-3.7156,0.3711,-3.8107,-2.1711
1979,2.9304,0.5954,2.6077,0.4447,2.1379,3.0502,2.3062,1.1898,1.8178,1.5203,3.2477,1.9691,0.4751,2.2956,-0.3926,-2.5135,1.3013,2.8467,0.5884,1.5648,3.2389,1.0807,-1.8544,-3.733,-3.7303,-4.7881,0.9337,-4.2787,-3.7416,-3.6761,-3.7569,0.2097,-3.7801,-2.1071
1980,2.8501,0.6077,2.5201,0.4007,2.0878,2.9316,2.2919,1.3284,1.7141,1.4293,3.1576,1.8325,0.3469,2.4081,-0.1186,-2.4223,1.2718,2.8094,0.6415,1.7068,3.1824,0.9427,-1.6663,-3.7615,-3.7524,-4.6746,0.8957,-4.2578,-3.6587,-3.555,-3.7963,0.0781,-3.7331,-2.0385
1981,2.7207,0.6001,2.4422,0.3636,2.0196,2.8168,2.3051,1.4981,1.6388,1.3275,3.0552,1.6846,0.2259,2.5309,0.1803,-2.353,1.2408,2.7539,0.687,1.853,3.1283,0.7996,-1.545,-3.7833,-3.7583,-4.5502,0.8729,-4.243,-3.5662,-3.4402,-3.8398,-0.022,-3.677,-1.9669
1982,2.551,0.588,2.3741,0.3221,1.9417,2.6897,2.3114,1.6812,1.5317,1.2251,2.9335,1.7539,0.1498,2.6641,0.4928,-2.2989,1.2186,2.6689,0.6878,1.9575,3.0648,0.6592,-1.5408,-3.7914,-3.7411,-4.4213,0.863,-4.2498,-3.4669,-3.3201,-3.8833,-0.1231,-3.6023,-1.8909
1983,2.3902,0.5783,2.3251,0.2786,1.8666,2.5633,2.3159,1.8552,1.4162,1.155,2.7788,1.8802,0.1235,2.7778,0.8093,-2.2436,1.2008,2.5758,0.6378,2.0354,2.9974,0.525,-1.5867,-3.7931,-3.7011,-4.2946,0.8203,-4.2635,-3.3567,-3.1929,-3.9274,-0.2228,-3.5084,-1.8157
